funcionario;est_civil;instrucao;sexo;filhos;idade_ano;idade_mes;procedencia;salario
1;solteiro;fundamental;masculino;NA;26;3;interior;4
2;casado;fundamental;feminino;1;32;10;capital;4,56
3;casado;fundamental;feminino;2;36;5;capital;5,25
4;solteiro;medio;masculino;NA;20;10;outra;5,73
5;solteiro;fundamental;feminino;NA;40;7;outra;6,26
6;casado;fundamental;masculino;0;28;0;interior;6,66
7;solteiro;fundamental;feminino;NA;41;0;interior;6,86
8;solteiro;fundamental;feminino;NA;43;4;capital;7,39
9;casado;medio;masculino;1;34;10;capital;7,59
10;solteiro;medio;feminino;NA;23;6;outra;7,44
11;casado;medio;masculino;2;33;6;interior;8,12
12;solteiro;fundamental;masculino;NA;27;11;capital;8,46
13;solteiro;medio;feminino;NA;37;5;outra;8,74
14;casado;fundamental;feminino;3;44;2;outra;8,95
15;casado;medio;feminino;0;30;5;interior;9,13
16;solteiro;medio;masculino;NA;38;8;outra;9,35
17;casado;medio;feminino;1;31;7;capital;9,77
18;casado;fundamental;feminino;2;39;7;outra;9,8
19;solteiro;superior;masculino;NA;25;8;interior;10,53
20;solteiro;medio;feminino;NA;37;4;interior;10,76
21;casado;medio;feminino;1;30;9;outra;11,06
22;solteiro;medio;feminino;NA;34;2;capital;11,59
23;solteiro;fundamental;masculino;NA;41;0;outra;12
24;casado;superior;masculino;0;26;1;outra;12,79
25;casado;medio;feminino;2;32;5;interior;13,23
26;casado;medio;feminino;2;35;0;outra;13,6
27;solteiro;fundamental;feminino;NA;46;7;outra;13,85
28;casado;medio;feminino;0;29;8;interior;14,69
29;casado;medio;masculino;5;40;6;interior;14,71
30;casado;medio;feminino;2;35;10;capital;15,99
31;solteiro;superior;feminino;NA;31;5;outra;16,22
32;casado;medio;feminino;1;36;4;interior;16,61
33;casado;superior;masculino;3;43;7;capital;17,26
34;solteiro;superior;masculino;NA;33;7;capital;18,75
35;casado;medio;masculino;2;48;11;capital;19,4
36;casado;superior;feminino;3;42;2;interior;23,3
